139,Furniture,"Bird's-eye maple, maple, and tulip poplar"
140,Glass,Free-blown aquamarine glass
141,Furniture,"Brass, porcelain"
142,Natural Substances,"Wood; Walnut, leather, brass"
143,Natural Substances,"Wood; Ash, cherry, brass, leather"
144,Natural Substances,"Wood, leather, brass"
145,Furniture,"Spruce, white oak"
146,Furniture,Yellow pine
147,Furniture,"Mahogany, upholstery"
148,Paintings,Ivory
149,Paintings,Enamel
150,Paintings,Probably porcelain
151,Paintings,Panel
152,Paintings,Oil on cardboard
153,Metal,Plaster
154,Ceramics,Waxed plaster
155,Glass|Sculpture,"Wax, glass"
156,Paintings,Oil on wood
157,Paintings,Canvas
158,Sculpture,Painted plaster
159,Metal,Galvonplast (probably galvano-reproduction)
160,Ceramics,Terracotta
161,Ceramics,Ceramic
162,Natural Substances,Alabaster
163,Natural Substances,"Linden, holly, sycamore or harewood"
164,Natural Substances,Stone
165,Paintings,Silk
166,Natural Substances,"Wax, glass, wood, paper"
167,Furniture,"Hickory, ash"
168,Glass,Blown glass
169,Natural Substances,Paper with composition covers
170,Natural Substances,"Paper, leather"
171,Natural Substances,"Paper, leather, brass"
172,Metal,"Favrile glass, bronze"
173,Glass,"Lead glass, blown molded"
174,Drawings,Ink and watercolor on paper
175,Drawings,Watercolor and iron gall ink on off-white laid paper
176,Drawings,"Watercolor, gum arabic, and iron gall ink on off-white laid
 paper"
177,Natural Substances,Watercolor on paper
178,Glass,"Pressed glass, diamond thumbprint"
179,Furniture,"Mahogany, white pine"
180,Furniture,"Cherry, white pine, tulip poplar"
181,Natural Substances,"Wood; Maple, thread"
182,Natural Substances,Straw
183,Natural Substances,Palm leaf
184,Furniture,"Mahogany, pine"
185,Furniture,"Oak, pine"
186,Glass,Free-blown glass
187,Ceramics,"Earthenware, slip decoration"
188,Glass,Non-lead glass with enamel decoration
189,Glass,Non-lead glass with engraved decoration
190,Glass,Blown molded glass
191,Glass,"Non-lead glass with enamel decoration, pewter"
192,Glass,Blown pattern-molded lead glass
193,Ceramics,Tin-enameled earthenware
194,Glass,Blown pattern-molded glass
195,Glass,Blown-molded glass
196,Glass,Free-blown molded amber glass
197,Glass,Free-blown molded glass
198,Glass,Pressed opaque white glass
199,Glass,Painted glass
200,Glass,Opaque glass
201,Glass,"Blown, pattern-molded glass"
202,Natural Substances,"Wood; Maple, pewter"
203,Glass,Free-blown non-lead glass
204,Glass,Blown molded lead glass
205,Natural Substances,Burlwood
206,Ceramics,Earthenware; Redware with slip decoration
207,Ceramics,Porcelain (soft-paste)
208,Ceramics,Earthenware and slip decoration
209,Ceramics,Stoneware
210,Glass,Blown satin purple glass
211,Glass,Blown satin cranberry and opaque glass
212,Glass,Blown satin blue glass
213,Glass,Blown satin yellow and amber glass
214,Glass,Blown blue and white satin glass
215,Glass,Blown red and white satin glass
216,Glass,Blown brown and white opaque satin glass
217,Glass,Blown red and white opaque satin glass
218,Glass,Lacy pressed glass
219,Glass,Blown and cut glass
220,Natural Substances,Tulip poplar
221,Glass,Pressed yellow glass
222,Glass,Blown glass with applied threaded decoration
223,Glass,Blown amber glass with applied threaded decoration
224,Ceramics,"Porcelain, overglaze enamel decoration"
225,Glass,Blown-molded Onyx glass
226,Glass,Cut blown glass
227,Silver,"Silver, stones"
228,Ceramics,"Porcelain, overglaze enamel decoration and raised gold paste decoration"
229,Glass,Blown satin white and cranberry opaque and colorless glass
230,Glass,Blown amber and yellow opaque satin glass
231,Glass,Favrile glass
232,Metal,Enamel on copper
233,Silver,Silver with gilt interior
234,Natural Substances,Wood; Poplar
235,Silver,Silver and gilding
236,Glass,Blown and etched glass
237,Natural Substances,"Tortoiseshell, copper"
238,Metal,Silver on copper
239,Natural Substances,"Rootwood tortoiseshell, ivory, gilt bronze"
240,Natural Substances,"Ivory, tortoiseshell"
241,Natural Substances,Tortoiseshell
242,Natural Substances,"Wood, tortoiseshell, gilt metal, engraving glass"
243,Natural Substances,"Ivory, porcelain"
244,Natural Substances,"Tortoiseshell, gilt brass"
245,Paintings,Papier mache
246,Natural Substances,"Wood, tortoiseshell"
247,Furniture,"Oak, white pine"
248,Furniture,"White oak, maple"
249,Furniture,Poplar
250,Furniture,Cedar
251,Furniture,"Pine, iron"
252,Furniture,"Yellow poplar, chestnut, white oak"
253,Furniture,"Poplar, brass"
254,Furniture,"Walnut, maple"
255,Metal,Enameled silver or pewter
256,Natural Substances,"Papier mache, tortoiseshell, silver, ivory"
257,Natural Substances,"Wood, ivory, horn"
258,Furniture,"White oak, red oak, yellow pine"
259,Natural Substances,"Wood, glass scarabs, favrile glass, bronze"
260,Silver,"Silver, gold,  jade, crystal, and rubies"
261,Ceramics,Vernis Martin on silver
262,Ceramics,"Glass, ceramic paste"
263,Silver,Silver and silver gilt
264,Drawings,"Graphite, white gouache, on blue paper"
265,Jewelry,Pearl
266,Furniture,"Mahogany, white oak, brass"
267,Jewelry,"Hair, gold"
268,Glass,"Blown, cut, and engraved glass"
269,Metal,"Gilt tin, wood"
270,Metal,"Copper, iron, wood"
271,Jewelry,"Diamonds, emeralds, platinum"
272,Jewelry,"Gold, pearl"
273,Jewelry,"Emerald, diamonds, platinum"
274,Jewelry,"Diamonds, pearls, platinum"
275,Jewelry,"Pearls, gold"
276,Glass,"Glass, bronze"
277,Glass,Free-blown green glass
278,Furniture,"Mahogany, white pine, white oak"
279,Furniture,"Walnut, tulip poplar, white pine, white cedar"
280,Furniture,"Mahogany, tulip poplar"
281,Furniture,"Mahogany, chestnut, tulip poplar"
282,Glass,Pressed blue glass
283,Glass,Pressed colorless and opalescent glass
284,Metal,Enamel on silver
285,Metal,Silver plate
286,Metal,"Brass, wood, ivory"
287,Metal,"Brass, wood"
288,Metal,"Silver (with two shanks), cast"
289,Furniture,"Red oak, white pine, black walnut, red cedar, maple"
290,Furniture,"Cherry, pine"
291,Furniture,"Butternut, white wood, maple"
292,Furniture,"Oak, poplar, pearwood or applewood veneer"
293,Furniture,"Walnut, maple, white pine, glass"
294,Furniture,"Rosewood, tulipwood, cherry, poplar, pine"
295,Furniture,"Rosewood, ivory, mother-of-pearl, brass, glass, and other woods"
296,Metal,Probably tin
297,Glass,Pattern molded amber
298,Natural Substances,"Wood; Cherry, glass, brass"
299,Natural Substances,Sardonyx
300,Glass,Glass paste
301,Jewelry,"Gold, moonstone, diamonds, emeralds"
302,Glass,White glass paste
303,Jewelry,"Onyx, gold, diamonds"
304,Ceramics,Jasperware
305,Jewelry,"Sardonyx, gold"
306,Glass,"Colorless, opalescent and amethyst glass, gilt bronze"
307,Metal,"Gilt bronze, glass"
308,Glass,"Blown glass, brass"
309,Metal,"Gilt metal, marble, crystal"
310,Metal,"Gilt bronze, marble"
311,Metal,Sheffield silver plate
312,Metal,Silver plate on copper
313,Furniture,White pine
314,Silver,"Silver, steel"
315,Metal,Tin
316,Furniture,"Mahogany, birch"
317,Furniture,"Pine, ash, cherry"
318,Furniture,"Cherry, birch, pine"
319,Furniture,"Maple, basswood"
320,Metal,"Tin, iron, lead, paint"
321,Metal,"Wrought iron, bronze, brass"
322,Glass,Free-blown lead aquamarine glass
323,Metal,"Steel, brass"
324,Glass,Pressed amethyst glass
325,Glass,"Lacy pressed glass, pewter"
326,Glass,Pressed gray glass
327,Glass,Cut glass
328,Sculpture,White metal
329,Sculpture,Bronze and gold leaf
330,Ceramics,"Metal, earthenware, glass"
331,Glass,Yellow glass
332,Glass,Pressed opaque green and white glass
333,Glass,Pressed opaque white and green glass
334,Glass,Pressed opaque blue glass
335,Glass,Pressed opaque blue and white glass
336,Natural Substances,"Copper, enamel, brass"
337,Natural Substances,"Copper, enamel"
338,Natural Substances,"Wood; Oak, copper"
339,Glass,Bronze and glass
340,Ceramics,"Earthenware, glass, gilt bronze"
341,Glass,"Mahogany, blown glass"
342,Glass,"Blown glass, wood"
343,Ceramics,Probably mottled brown earthenware
344,Metal,"Sheffield silver plate, glass"
345,Glass,"Mahogany, glass, brass"
346,Metal,"Sheffield silver plate, free-blown glass"
347,Glass,"Free-blown colorless and opaque pink, green and white glass"
348,Natural Substances,"Ivory, brass"
349,Metal,"Cast brass, mercury, gold"
350,Architecture,Gilt plaster
351,Furniture,"Mahogany, birch, ebony, white pine, satinwood"
352,Furniture,"Mahogany, maple, satinwood, white pine"
353,Furniture,"Mahogany, mahogany veneer, red oak, yellow pine, cedar"
354,Furniture,"Mahogany, maple, satinwood, tulip poplar, white pine"
355,Furniture,"Mahogany, satinwood, holly, ebony, white pine"
356,Furniture,"Mahogany, satinwood, sycamore, holly with oak, yellow poplar"
357,Furniture,"Mahogany, mahogany veneer, rosewood and satinwood inlays, beech, tulip poplar"
358,Furniture,"Mahogany, mahogany veneer, birch, tulip poplar"
359,Furniture,"Mahogany, white oak, tulip poplar, white pine"
360,Furniture,"Mahogany, white pine, tulip poplar, maple"
361,Furniture,"Mahogany, satinwood, holly with white pine, sycamore, birch"
362,Furniture,"Mahogany, mahogany veneer, tulip poplar, white oak"
363,Furniture,"Tulip, satinwood, ebony"
364,Furniture,"Mahogany, maple, pine"
365,Furniture,"Maple, oak, tulip"
366,Furniture,"Mahogany, satinwood, ivory, tulip poplar, chestnut"
367,Furniture,"Rosewood, maple"
368,Furniture,"Mahogany, mahogany veneer, gilded brass with
white pine, mahogany"
369,Furniture,"Mahogany, brass, white pine"
370,Furniture,"Bird's-eye maple, rosewood, satinwood, mahogany, brass; secondary wood: pine"
371,Furniture,"Mahogany, mahogany veneer, gilded brass
with yellow poplar"
372,Furniture,"Mahogany, maple, chestnut, tulip poplar"
373,Furniture,"Mahogany, satinwood, holly, maple, white pine"
374,Furniture,"Mahogany, satinwood"
375,Furniture,"Rosewood, mahogany, tulip poplar, white pine, brass"
376,Furniture,"Rosewood, mahogany, gilt brass"
377,Furniture,"Mahogany, rosewood"
378,Metal,"Brass, glass, enamel"
379,Architecture,"Pine, glass, and lead"
380,Glass,Blown-molded and engraved glass
381,Glass,Blown lead glass
382,Glass,Blown and engraved glass
383,Furniture,"Wood, plaster, paper, brass"
384,Furniture,"Rosewood, ash, marble"
385,Furniture,"Cherry, mahogany veneer, pine, ash, poplar, marble"
386,Furniture,"Rosewood, walnut, marble"
387,Furniture,"Mahogany, intarsia marble, brass"
388,Furniture,"Walnut, maple, white pine"
389,Furniture,"Soft maple, maple, ash"
390,Furniture,"Mahogany, Atlantic white cedar, cherry"
391,Furniture,"Walnut, tulip poplar"
