251,"India, south"
252,Republic of the Congo
253,Guinea Bissau
254,South Africa or Kingdom of Swaziland
255,North America
256,Zanzibar
257,India (?)
258,Northern Tanzania and Kenya
259,New Guinea
260,Egypt or Syria
261,Iraq or Syria
262,probably Syria
263,probably Egypt
264,Syria
265,Iran or Turkey
266,Pakistan
267,Unknown
268,present-day Greece
269,Greece
270,Bulgaria
271,Bosnia
272,probably Greece
273,Saudi Arabia
274,probably Iran
275,Hungary
276,Iraq
277,Northern Iraq or Western Iran
278,present-day Pakistan
279,Syria|Egypt
280,probably Spain
281,Yemen
282,Albania
283,Morocco
284,probably Algeria
285,probably Turkey
286,Algeria
287,"Western Iran, Northern Iraq or Northern Syria"
288,Iran or Syria
289,Egypt or Turkey
290,China or present-day Uzbekistan
291,India or Nepal
292,Iran or Central Asia
293,present-day Afghanistan
294,"Northern Iraq, southeastern Turkey, or Syria"
295,Iran or Iraq
296,India or Iran
297,Syria or Iraq
298,Southern India
299,present-day Saudi Arabia
300,probably Cyprus or Turkey
301,Iran or Northern India
302,Sri Lanka
303,present-day Uzbekistan
304,probably India
305,probably Northern India
306,Central Asia
307,Iran or Italy
308,India or Turkey
309,Iraq or Iran
310,Iran (modern Afghanistan)
311,Present-day Pakistan
312,Armenia
313,Afghanistan or Turkmenistan
314,Central India or Rajasthan
315,Spain|Egypt
316,Northern India
317,Spain or North Africa
318,probably Iraq
319,Azerbaijan
320,present-day Israel
321,probably Morocco
322,Syria or Turkey
323,Northwestern Iran
324,Poland
325,probably India or Iran
326,Palestine
327,Egypt or Palestine
328,Bulgaria or Romania
329,Eastern India
330,present-day Bangladesh
331,Iraq or Northern Jazira
332,Northern India or Pakistan
333,Northern Iran
334,India or Pakistan
335,India or present-day Pakistan
336,Central India
337,probably Central India
338,Central or Southern India or Sri Lanka
339,Central or Southern India or Sri lanka
340,present-day Turkey
341,Southern Italy
342,possibly Syria or Europe
343,possibly France
344,probably present-day Israel
345,probably Central Iran
346,"India, Nepal or Tibet"
347,"Egypt, Iran or Syria"
348,Syria or Egypt
349,Western Turkey
350,Western Iran
351,present-day China
352,Turkmenistan
353,Turkmenistan or Iran
354,Uzbekistan or Turkmenistan
355,present-day Afghanistan or Turkmenistan
356,Western Turkmenistan
357,West-central Turkey
358,Northwestern Iran or Transcaucasia
359,Iran or India
360,West Turkey
361,West Central Turkey
362,Probably West Central Turkey
363,China|Iraq
364,possibly Iran or Egypt
365,Syria|Iran
366,France or India
367,Iran or Caucasus
368,Tunesia
369,Egypt or Iraq
370,Western India
371,Eastern Iran or present-day Afghanistan
372,Greece or Turkey
373,Possibly Syria
374,Northwestern Iran or Kurdistan
375,Iran|Iran
376,India|Egypt
377,probably India|Egypt
378,Iraq|Iran
379,Eastern Iran or Khurasan
380,Iraq|Iraq
381,Eastern Iran
382,probably China|Iraq
383,Italy or Turkey
384,Iran|Iran or Central Asia
385,Iran or Afghanistan
386,Iran|Iran or Uzbekistan
387,Iran|Iraq
388,China|Iran
389,Iran|Iraq or western Iran
390,Iran|Uzbekistan
391,Iran|probably Iran
392,present-day Lebanon
393,Iran|present-day Uzbekistan
394,Iran|Iran or present-day Uzbekistan
395,Iran|Syria or Iraq
396,Iran|China
397,iran
398,Northeastern Iran
399,probably Egypt or Syria
400,Eastern Iran or Afghanistan
401,Armenia or Turkey
402,"Iran, Iraq, or Egypt"
403,Eastern Turkmenistan or Uzbekistan
404,Afghanistan
405,probably Yemen
406,Iran or present-day Uzbekistan
407,Turkey or Iraq
408,Northwestern India
409,"Northwestern Iran, probably"
410,Central or Northern Iran
411,Present-day Uzbekistan
412,Northwestern Iran or Baghdad
413,probably Northeastern Iran
414,probably Iran or Iraq
415,present-day Afghanistan or Central Asia
416,probably Iraq or Syria
